DEPTH,GR,NPHI,RHOB,RT,MARKER,ZONE,VSH_LINEAR,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,FTEMP,SW,VSH_Z4,PHIE_Z4,PHIT_Z4,SW_Z4,SW.1
1147.3976,,,2.1908000000000003,,,,,,,,,,,,54.3164,,,,,,
1147.55,,0.437671,2.213,,,,,,,,,,,,54.3206,,,,,,
1147.7024,,0.436177,2.2142,,,,,,,,,,,,54.3248,,,,,,
1147.8548,,0.442994,2.2183,,,,,,,,,,,,54.3291,,,,,,
1148.0072,,0.439277,2.232,,,,,,,,,,,,54.3333,,,,,,
1148.1596,,0.428622,2.2146001,1.1201,,,,,,,,,,,54.3375,,,,,,
1148.312,,0.427725,2.1987,1.1193,,,,,,,,,,,54.3418,,,,,,
1148.4644,,0.438802,2.2047,1.1185,,,,,,,,,,,54.346,,,,,,
1148.6168,,0.437695,2.2083999,1.1178,,,,,,,,,,,54.3502,,,,,,
1148.7692,,0.434156,2.2158,1.117,,,,,,,,,,,54.3545,,,,,,
1148.9216,,0.452071,2.2193999,1.1162,,,,,,,,,,,54.3587,,,,,,
1149.074,,0.469853,2.2267,1.1155,,,,,,,,,,,54.3629,,,,,,
1149.2264,,0.479842,2.239,1.1148,,,,,,,,,,,54.3672,,,,,,
1149.3788,,0.475682,2.2423999,1.1141,,,,,,,,,,,54.3714,,,,,,
1149.5312,,0.456551,2.2513,1.1134,,,,,,,,,,,54.3756,,,,,,
1149.6836,,0.427169,2.2683,1.1127,,,,,,,,,,,54.3799,,,,,,
1149.836,,0.431261,2.2625999,1.112,,,,,,,,,,,54.3841,,,,,,
1149.9884,,0.465425,2.258,1.0958,,,,,,,,,,,54.3883,,,,,,
1150.1408,,0.464265,2.2417,1.0774,,,,,,,,,,,54.3926,,,,,,
1150.2932,,0.473415,2.2456001000000003,1.0589,,,,,,,,,,,54.3968,,,,,,
1150.4456,,0.476371,2.2412,1.0405,,,,,,,,,,,54.401,,,,,,
1150.598,,0.484971,2.2291001,1.0221,,,,,,,,,,,54.4053,,,,,,
1150.7504,,0.467226,2.2230999,1.0037,,,,,,,,,,,54.4095,,,,,,
1150.9028,,0.464548,2.2223999,0.9853,,,,,,,,,,,54.4137,,,,,,
1151.0552,,0.479752,2.239,0.9669,,,,,,,,,,,54.418,,,,,,
1151.2076,,0.492885,2.251,0.9485,,,,,,,,,,,54.4222,,,,,,
1151.36,,0.499146,2.2882,0.9595,,,,,,,,,,,54.4264,,,,,,
1151.5124,,0.492964,2.3018999,0.9747,,,,,,,,,,,54.4307,,,,,,
1151.6648,,0.487251,2.2952002,0.9899,,,,,,,,,,,54.4349,,,,,,
1151.8172,,0.482374,2.2748999,1.0051,,,,,,,,,,,54.4391,,,,,,
1151.9696,,0.453409,2.2634001,1.0203,,,,,,,,,,,54.4434,,,,,,
1152.122,,0.446245,2.2665,1.0146,,,,,,,,,,,54.4476,,,,,,
1152.2744,,0.453139,2.2645,1.0059,,,,,,,,,,,54.4518,,,,,,
1152.4268,,0.452566,2.2702,0.9973,,,,,,,,,,,54.4561,,,,,,
1152.5792,,0.441306,2.2823999,0.9887,,,,,,,,,,,54.4603,,,,,,
1152.7316,,0.442362,2.3181001,0.98,,,,,,,,,,,54.4645,,,,,,
1152.884,,0.484185,2.3333999,0.9714,,,,,,,,,,,54.4688,,,,,,
1153.0364,,0.517291,2.3261001,0.9627,,,,,,,,,,,54.473,,,,,,
1153.1888,,0.528458,2.317,0.9541,,,,,,,,,,,54.4772,,,,,,
1153.3412,,0.516344,2.35,0.9454,,,,,,,,,,,54.4815,,,,,,
1153.4936,,0.444122,2.3398999,0.9368,,,,,,,,,,,54.4857,,,,,,
1153.646,,0.431579,2.2975,0.9351,,,,,,,,,,,54.4899,,,,,,
1153.7984,,0.426464,2.2428000000000003,0.9343,,,,,,,,,,,54.4942,,,,,,
1153.9508,,0.425251,2.2027,0.9335,,,,,,,,,,,54.4984,,,,,,
1154.1032,,0.418861,2.1507002,0.9328,,,,,,,,,,,54.5026,,,,,,
1154.2556,,0.402729,2.1623999,0.932,,,,,,,,,,,54.5069,,,,,,
1154.408,,0.392693,2.1570999,0.9312,,,,,,,,,,,54.5111,,,,,,
1154.5604,,0.390773,2.1480999,0.9405,,,,,,,,,,,54.5153,,,,,,
1154.7128,,0.387235,2.1443000000000003,0.9511,,,,,,,,,,,54.5196,,,,,,
1154.8652,,0.370456,2.1413,0.9618,,,,,,,,,,,54.5238,,,,,,
1155.0176,,0.376548,2.1462,0.9724,,,,,,,,,,,54.528,,,,,,
1155.17,,0.397122,2.1380999000000003,0.9831,,,,,,,,,,,54.5323,,,,,,
1155.3224,,0.410863,2.0931001,0.9937,,,,,,,,,,,54.5365,,,,,,
1155.4748,,0.413963,2.1008999,1.0044,,,,,,,,,,,54.5407,,,,,,
1155.6272,,0.422044,2.1168999,1.0046,,,,,,,,,,,54.545,,,,,,
1155.7796,,0.432058,2.1285,1.0213,,,,,,,,,,,54.5492,,,,,,
1155.932,,0.442995,2.1762,1.0406,,,,,,,,,,,54.5534,,,,,,
1156.0844,,0.439357,2.194,1.1118,,,,,,,,,,,54.5577,,,,,,
1156.2368,,0.423922,2.2052,1.1211,,,,,,,,,,,54.5619,,,,,,
1156.3892,,0.41449,2.218,1.1206,,,,,,,,,,,54.5661,,,,,,
1156.5416,,0.399264,2.2318,1.1196,,,,,,,,,,,54.5704,,,,,,
1156.694,,0.388326,2.23,1.1534,,,,,,,,,,,54.5746,,,,,,
1156.8464,,0.400698,2.2233,1.1751,,,,,,,,,,,54.5788,,,,,,
1156.9988,,0.459827,2.1796001,1.1945,,,,,,,,,,,54.5831,,,,,,
1157.1512,,0.458389,2.156,1.1962,,,,,,,,,,,54.5873,,,,,,
1157.3036,,0.417136,2.171,1.1606,,,,,,,,,,,54.5915,,,,,,
1157.456,,0.413078,2.1962,1.1548,,,,,,,,,,,54.5958,,,,,,
1157.6084,,0.415908,2.2291001,1.1542,,,,,,,,,,,54.6,,,,,,
1157.7608,,0.389483,2.2114001,1.1537,,,,,,,,,,,54.6042,,,,,,
1157.9132,,0.367846,2.1926001,1.1528,,,,,,,,,,,54.6085,,,,,,
1158.0656,,0.364259,2.1842,1.1173,,,,,,,,,,,54.6127,,,,,,
1158.218,,0.410295,2.1605999,1.077,,,,,,,,,,,54.6169,,,,,,
1158.3704,,0.441443,2.1197,1.0712,,,,,,,,,,,54.6212,,,,,,
1158.5228,,0.446722,2.124,1.0702,,,,,,,,,,,54.6254,,,,,,
1158.6752,,0.440927,2.1324001,1.0697,,,,,,,,,,,54.6296,,,,,,
1158.8276,,0.416951,2.1386001,1.0692,,,,,,,,,,,54.6339,,,,,,
1158.98,,0.404754,2.1349001,1.0681,,,,,,,,,,,54.6381,,,,,,
1159.1324,,0.405046,2.115,1.0675,,,,,,,,,,,54.6423,,,,,,
1159.2848,,0.411026,2.1167,1.067,,,,,,,,,,,54.6466,,,,,,
1159.4372,,0.423899,2.1110999,1.0662,,,,,,,,,,,54.6508,,,,,,
1159.5896,,0.447626,2.1094001,1.0653,,,,,,,,,,,54.655,,,,,,
1159.742,,0.485881,2.0348,1.068,,,,,,,,,,,54.6593,,,,,,
1159.8944,,0.512324,1.9802001,1.0713,,,,,,,,,,,54.6635,,,,,,
1160.0468,,0.57885,1.9297001,1.0746,,,,,,,,,,,54.6677,,,,,,
1160.1992,,0.576727,1.9052,1.0778,,,,,,,,,,,54.672,,,,,,
1160.3516,,0.588813,1.8947001,1.0811,,,,,,,,,,,54.6762,,,,,,
1160.504,,0.586506,1.901,1.0844,,,,,,,,,,,54.6804,,,,,,
1160.6564,,0.552824,1.9077,1.0877,,,,,,,,,,,54.6847,,,,,,
1160.8088,,0.530302,1.9347,1.0909,,,,,,,,,,,54.6889,,,,,,
1160.9612,,0.527776,2.0057001,1.0942,,,,,,,,,,,54.6931,,,,,,
1161.1136,,0.521973,2.0581001000000003,1.0975,,,,,,,,,,,54.6974,,,,,,
1161.266,,0.492266,2.0772,1.0885,,,,,,,,,,,54.7016,,,,,,
1161.4184,,0.479517,2.0195,1.0777,,,,,,,,,,,54.7058,,,,,,
1161.5708,,0.479072,1.9962999,1.067,,,,,,,,,,,54.7101,,,,,,
1161.7232,,0.47705,2.0309,1.0562,,,,,,,,,,,54.7143,,,,,,
1161.8756,,0.480419,2.0560999,1.0543,,,,,,,,,,,54.7185,,,,,,
1162.028,,0.483531,2.0483999,1.0536,,,,,,,,,,,54.7228,,,,,,
1162.1804,,0.478635,2.0162999,1.0529,,,,,,,,,,,54.727,,,,,,
1162.3328,,0.461602,1.9744,1.0522,,,,,,,,,,,54.7312,,,,,,
1162.4852,,0.48292,1.9577001,1.0515,,,,,,,,,,,54.7355,,,,,,
1162.6376,,0.550273,1.9631,1.0508,,,,,,,,,,,54.7397,,,,,,
1162.79,,0.556618,1.9719,1.0501,,,,,,,,,,,54.7439,,,,,,
1162.9424,,0.527878,1.9905,1.0494,,,,,,,,,,,54.7482,,,,,,
1163.0948,,0.476094,2.0183,1.0487,,,,,,,,,,,54.7524,,,,,,
1163.2472,,0.447834,2.0244999,1.048,,,,,,,,,,,54.7566,,,,,,
1163.3996,,0.444782,2.0502,1.0473,,,,,,,,,,,54.7609,,,,,,
1163.552,,0.436887,2.0502,1.0466,,,,,,,,,,,54.7651,,,,,,
1163.7044,,0.450467,2.0523,1.0459,,,,,,,,,,,54.7693,,,,,,
1163.8568,,0.465627,2.0387001,1.0452,,,,,,,,,,,54.7736,,,,,,
1164.0092,,0.470607,1.9263999,1.0445,,,,,,,,,,,54.7778,,,,,,
1164.1616,,0.482052,1.9267,1.0438,,,,,,,,,,,54.782,,,,,,
1164.314,,0.474131,1.9437,1.0431,,,,,,,,,,,54.7863,,,,,,
1164.4664,,0.461757,1.9834,1.0424,,,,,,,,,,,54.7905,,,,,,
1164.6188,,0.469636,2.0027001,1.0418,,,,,,,,,,,54.7947,,,,,,
1164.7712,,0.473039,1.9976,1.0408,,,,,,,,,,,54.799,,,,,,
1164.9236,,0.480134,2.0211001,1.0401,,,,,,,,,,,54.8032,,,,,,
1165.076,,0.476342,2.0927998,1.0395,,,,,,,,,,,54.8074,,,,,,
1165.2284,,0.458333,2.1172,1.0384,,,,,,,,,,,54.8117,,,,,,
1165.3808,,0.43593,2.1097,1.0376,,,,,,,,,,,54.8159,,,,,,
1165.5332,,0.403174,2.0873000000000004,1.0368,,,,,,,,,,,54.8201,,,,,,
1165.6856,,0.405779,2.1587,1.0362,,,,,,,,,,,54.8244,,,,,,
1165.838,,0.402513,2.1744001,1.0356,,,,,,,,,,,54.8286,,,,,,
1165.9904,,0.388237,2.1585,1.035,,,,,,,,,,,54.8328,,,,,,
1166.1428,,0.393128,2.122,1.0344,,,,,,,,,,,54.8371,,,,,,
1166.2952,,0.401426,2.1023,1.0509,,,,,,,,,,,54.8413,,,,,,
1166.4476,,0.420289,2.0652002,1.0698,,,,,,,,,,,54.8455,,,,,,
1166.6,,0.421724,2.0707,1.0716,,,,,,,,,,,54.8498,,,,,,
1166.7524,,0.41578,2.0957998,1.071,,,,,,,,,,,54.854,,,,,,
1166.9048,,0.406018,2.1271001000000003,1.0703,,,,,,,,,,,54.8582,,,,,,
1167.0572,,0.387932,2.1205,1.0695,,,,,,,,,,,54.8625,,,,,,
1167.2096,,0.392383,2.1059001,1.0689,,,,,,,,,,,54.8667,,,,,,
1167.362,,0.429551,2.0838999,1.0683,,,,,,,,,,,54.8709,,,,,,
1167.5144,,0.474511,2.0705,1.0674,,,,,,,,,,,54.8752,,,,,,
1167.6668,,0.471178,2.0542,1.0665,,,,,,,,,,,54.8794,,,,,,
1167.8192,,0.459928,2.0529001,1.0656,,,,,,,,,,,54.8836,,,,,,
1167.9716,,0.442226,2.1115999000000003,1.0648,,,,,,,,,,,54.8879,,,,,,
1168.124,,0.410516,2.1250999000000004,1.0641,,,,,,,,,,,54.8921,,,,,,
1168.2764,,0.401107,2.1415999,1.0634,,,,,,,,,,,54.8963,,,,,,
1168.4288,,0.387228,2.1613,1.0628,,,,,,,,,,,54.9006,,,,,,
1168.5812,,0.3717,2.2556001,1.0738,,,,,,,,,,,54.9048,,,,,,
1168.7336,,0.37134,2.2807,1.0865,,,,,,,,,,,54.909,,,,,,
1168.886,,0.365246,2.2492002,1.0991,,,,,,,,,,,54.9133,,,,,,
1169.0384,,0.351212,2.1745,1.0999,,,,,,,,,,,54.9175,,,,,,
1169.1908,,0.348289,2.1733999,1.1339,,,,,,,,,,,54.9217,,,,,,
1169.3432,,0.357576,2.1298999,1.1727,,,,,,,,,,,54.926,,,,,,
1169.4956,,0.414006,2.0755,1.1769,,,,,,,,,,,54.9302,,,,,,
1169.648,,0.435914,2.0643,1.1761,,,,,,,,,,,54.9344,,,,,,
1169.8004,,0.474633,2.0952,1.1753,,,,,,,,,,,54.9387,,,,,,
1169.9528,,0.484492,2.1363999,1.1745,,,,,,,,,,,54.9429,,,,,,
1170.1052,,0.475161,2.18,1.174,,,,,,,,,,,54.9471,,,,,,
1170.2576,,0.456413,2.1940999000000003,1.1735,,,,,,,,,,,54.9514,,,,,,
1170.41,,0.446085,2.2435,1.1725,,,,,,,,,,,54.9556,,,,,,
1170.5624,,0.422365,2.2772998,1.1718,,,,,,,,,,,54.9598,,,,,,
1170.7148,,0.43073,2.2899001,1.1711,,,,,,,,,,,54.9641,,,,,,
1170.8672,,0.458068,2.2762,1.1878,,,,,,,,,,,54.9683,,,,,,
1171.0196,,0.474258,2.2085,1.2069,,,,,,,,,,,54.9725,,,,,,
1171.172,,0.516961,2.2237,1.2261,,,,,,,,,,,54.9768,,,,,,
1171.3244,,0.554194,2.2306001,1.2454,,,,,,,,,,,54.981,,,,,,
1171.4768,,0.558072,2.2311001,1.2817,,,,,,,,,,,54.9852,,,,,,
1171.6292,,0.544848,2.2205999000000003,1.3034,,,,,,,,,,,54.9895,,,,,,
1171.7816,,0.518831,2.199,1.3227,,,,,,,,,,,54.9937,,,,,,
1171.934,,0.511738,2.1725,1.3241,,,,,,,,,,,54.9979,,,,,,
1172.0864,,0.491255,2.149,1.2883,,,,,,,,,,,55.0022,,,,,,
1172.2388,,0.430673,2.1295,1.2655,,,,,,,,,,,55.0064,,,,,,
1172.3912,,0.36635,2.1280999,1.2452,,,,,,,,,,,55.0106,,,,,,
1172.5436,,0.362107,2.1456001,1.242,,,,,,,,,,,55.0149,,,,,,
1172.696,,0.412481,2.2155,1.2413,,,,,,,,,,,55.0191,,,,,,
1172.8484,,0.426305,2.1033000000000004,1.2404,,,,,,,,,,,55.0233,,,,,,
1173.0008,,0.417268,2.0713000000000004,1.2395,,,,,,,,,,,55.0276,,,,,,
1173.1532,,0.432645,2.1033000000000004,1.2386,,,,,,,,,,,55.0318,,,,,,
1173.3056,,0.440231,2.0835,1.2264,,,,,,,,,,,55.036,,,,,,
1173.458,,0.463526,2.0442,1.2127,,,,,,,,,,,55.0403,,,,,,
1173.6104,,0.471401,1.9,1.1989,,,,,,,,,,,55.0445,,,,,,
1173.7628,,0.465214,1.8647,1.1792,,,,,,,,,,,55.0487,,,,,,
1173.9152,,0.434835,1.8729,1.1586,,,,,,,,,,,55.053,,,,,,
1174.0676,,0.435405,1.884,1.1552,,,,,,,,,,,55.0572,,,,,,
1174.22,,0.516897,1.8927999,1.1369,,,,,,,,,,,55.0614,,,,,,
1174.3724,,0.544518,1.8899,1.1162,,,,,,,,,,,55.0657,,,,,,
1174.5248,,0.544146,1.8858,1.1479,,,,,,,,,,,55.0699,,,,,,
1174.6772,,0.487048,1.8809,1.1696,,,,,,,,,,,55.0741,,,,,,
1174.8296,,0.47172,1.8838,1.1888,,,,,,,,,,,55.0784,,,,,,
1174.982,,0.480645,1.893,1.1906,,,,,,,,,,,55.0826,,,,,,
1175.1344,,0.515627,1.903,1.1901,,,,,,,,,,,55.0868,,,,,,
1175.2868,,0.543429,1.9466,1.2238,,,,,,,,,,,55.0911,,,,,,
1175.4392,,0.546653,1.9845,1.2453,,,,,,,,,,,55.0953,,,,,,
1175.5916,,0.527731,2.1167,1.2644,,,,,,,,,,,55.0995,,,,,,
1175.744,,0.516125,2.1556001,1.2662,,,,,,,,,,,55.1038,,,,,,
1175.8964,,0.513789,2.1551001000000003,1.2656,,,,,,,,,,,55.108,,,,,,
1176.0488,,0.471092,2.1432,1.2649,,,,,,,,,,,55.1122,,,,,,
1176.2012,,0.450402,2.1284001,1.2642,,,,,,,,,,,55.1165,,,,,,
1176.3536,,0.445163,2.1554001,1.298,,,,,,,,,,,55.1207,,,,,,
1176.506,,0.45152,2.1717,1.3021,,,,,,,,,,,55.1249,,,,,,
1176.6584,,0.45561,2.0938000000000003,1.3013,,,,,,,,,,,55.1292,,,,,,
1176.8108,,0.426098,2.0738000000000003,1.3006,,,,,,,,,,,55.1334,,,,,,
1176.9632,,0.414528,2.097,1.3175,,,,,,,,,,,55.1376,,,,,,
1177.1156,,0.414002,2.0952,1.3369,,,,,,,,,,,55.1419,,,,,,
1177.268,,0.431899,2.0997,1.3387,,,,,,,,,,,55.1461,,,,,,
1177.4204,,0.42389,2.0995,1.338,,,,,,,,,,,55.1503,,,,,,
1177.5728,,0.381439,2.1098999,1.3197,,,,,,,,,,,55.1546,,,,,,
1177.7252,,0.370414,2.1262,1.2989,,,,,,,,,,,55.1588,,,,,,
1177.8776,,0.379633,2.1003000000000003,1.2783,,,,,,,,,,,55.163,,,,,,
1178.03,,0.413551,2.0464,1.2578,,,,,,,,,,,55.1673,,,,,,
1178.1824,,0.409188,2.0613,1.2199,,,,,,,,,,,55.1715,,,,,,
1178.3348,,0.334924,2.1387,1.1795,,,,,,,,,,,55.1757,,,,,,
1178.4872,,0.312582,2.2927,1.1624,,,,,,,,,,,55.18,,,,,,
1178.6396,,0.352332,2.4266001,1.1485,,,,,,,,,,,55.1842,,,,,,
1178.792,,0.376521,2.4416001,1.1346,,,,,,,,,,,55.1884,,,,,,
1178.9444,,0.38381,2.2577,1.1321,,,,,,,,,,,55.1927,,,,,,
1179.0968,,0.368696,2.2398,1.1662,,,,,,,,,,,55.1969,,,,,,
1179.2492,,0.369089,2.2723999,1.2052,,,,,,,,,,,55.2011,,,,,,
1179.4016,,0.362079,2.3406001,1.2616,,,,,,,,,,,55.2054,,,,,,
1179.554,,0.358399,2.3575,1.3204,,,,,,,,,,,55.2096,,,,,,
1179.7064,,0.354865,2.3383999,1.3615,,,,,,,,,,,55.2138,,,,,,
1179.8588,,0.345476,2.3364001,1.4005,,,,,,,,,,,55.2181,,,,,,
1180.0112,,0.358372,2.347,1.4396,,,,,,,,,,,55.2223,,,,,,
1180.1636,,0.35562,2.3572,1.496,,,,,,,,,,,55.2265,,,,,,
1180.316,,0.347578,2.3680999000000003,1.5548,,,,,,,,,,,55.2308,,,,,,
1180.4684,,0.36332,2.3773,1.6305,,,,,,,,,,,55.235,,,,,,
1180.6208,,0.364092,2.3836001,1.6743,,,,,,,,,,,55.2392,,,,,,
1180.7732,,0.3544,2.3782,1.7133,,,,,,,,,,,55.2435,,,,,,
