STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,IQUAL,RGBE,R_RGBE,RPBE,R_RPBE,SWARRAY_1,SWARRAY_2,SWARRAY_3,SWARRAY_4,SWARRAY_5,SWARRAY_6,SWARRAY_7,SWARRAY_8,SWARRAY_9,SWARRAY_10,SWARRAY_11,SWARRAY_12,SWARRAY_13,SWARRAY_14,SWARRAY_15,SWARRAY_16,SWARRAY_17,SWARRAY_18,SWARRAY_19,SWARRAY_20,SWARRAY_21,SWARRAY_22,SWARRAY_23,SWARRAY_24,SWARRAY_25,SWGRAD,CT,FTEMP
ABAB,ABB-041,1371.6,,-35.864,44.776,2.175,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9926807594517246,0.9656765386830246,0.9407859670930487,0.9177507099873378,0.8963544019487012,0.876414285218882,0.857774795767414,0.8403025830112921,-0.0107661256774615,0.4597701149425288,143.57999999999998
ABAB,ABB-041,1371.7524,,-35.86,44.776,2.177,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9921460701792928,0.965156394738502,0.9402792299980969,0.9172563804108606,0.895871597100863,0.8759422207489599,0.8573127711163947,0.8398499694470068,-0.010803417233217651,0.45934772622875514,143.58762000000002
ABAB,ABB-041,1371.9048,,-35.8561,44.776,2.142,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9738588155733405,0.9487573436036317,0.9255269063891283,0.9039493052261486,0.8838402338311045,0.8650428100634586,0.8474225534469648,-0.010179499921109477,0.4668534080298786,143.59524
ABAB,ABB-041,1372.0572,,-35.8511,44.776,2.106,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9830447158265587,0.957706474815963,0.9342569170516646,0.9124757856758683,0.8921770359403239,0.873202305917412,0.8554158466469741,-0.009520919704862293,0.47483380816714155,143.60286000000002
ABAB,ABB-041,1372.2096,,-35.8472,44.776,2.071,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9922121234583011,0.9666375900590928,0.9429693528681637,0.9209851010169835,0.9004970547924345,0.8813453754588535,0.8633930481258216,-0.008863665311268847,0.48285852245292127,143.61048
ABAB,ABB-041,1372.362,,-36.0613,44.776,2.036,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9758068381812092,0.95191409085158,0.9297213026657118,0.9090389126857552,0.8897055659914479,0.8715829480082501,-0.00818888635588081,0.4911591355599214,143.61810000000003
ABAB,ABB-041,1372.5144,,-36.2744,44.776,2.0,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9854984680249255,0.9613684199775643,0.9389552149224125,0.9180674092186404,0.8985420453827534,0.8802394351117174,-0.007475664532798445,0.5,143.62572
ABAB,ABB-041,1372.6668,,-36.4884,44.776,1.96,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9965936868232312,0.972191971014442,0.9495264272473319,0.9284034565158918,0.9086582666823958,0.8901495967652764,-0.006659150457618792,0.5102040816326531,143.63334
ABAB,ABB-041,1372.8192,,-36.7025,44.776,1.919,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9836495910408443,0.960716925968562,0.9393450136909197,0.9193671199376153,0.9006403189173525,-0.0059615808649588495,0.5211047420531527,143.64096
ABAB,ABB-041,1372.9716,,-36.9166,44.776,1.878,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9954947252748163,0.9722859044468685,0.9506566310397436,0.9304381629646735,0.9114858533142252,-0.00531084880114649,0.5324813631522897,143.64858
